StudentID,SubjectCode,Subject,Grade
202300270,MA206B1,"PROBABILITY, STATISTICS AND STOCHASTIC PROCESSES",F
202400006,MA206B1,"PROBABILITY, STATISTICS AND STOCHASTIC PROCESSES",F
202400013,MA206B1,"PROBABILITY, STATISTICS AND STOCHASTIC PROCESSES",D
202400015,MA206B1,"PROBABILITY, STATISTICS AND STOCHASTIC PROCESSES",A
202400023,MA206B1,"PROBABILITY, STATISTICS AND STOCHASTIC PROCESSES",F
202400024,MA206B1,"PROBABILITY, STATISTICS AND STOCHASTIC PROCESSES",D
202400026,MA206B1,"PROBABILITY, STATISTICS AND STOCHASTIC PROCESSES",F
202400027,MA206B1,"PROBABILITY, STATISTICS AND STOCHASTIC PROCESSES",A
202400032,MA206B1,"PROBABILITY, STATISTICS AND STOCHASTIC PROCESSES",B
202400042,MA206B1,"PROBABILITY, STATISTICS AND STOCHASTIC PROCESSES",B
202400048,MA206B1,"PROBABILITY, STATISTICS AND STOCHASTIC PROCESSES",D
202400050,MA206B1,"PROBABILITY, STATISTICS AND STOCHASTIC PROCESSES",D
202400051,MA206B1,"PROBABILITY, STATISTICS AND STOCHASTIC PROCESSES",D
202400060,MA206B1,"PROBABILITY, STATISTICS AND STOCHASTIC PROCESSES",F
202400063,MA206B1,"PROBABILITY, STATISTICS AND STOCHASTIC PROCESSES",D
202400079,MA206B1,"PROBABILITY, STATISTICS AND STOCHASTIC PROCESSES",B
202400084,MA206B1,"PROBABILITY, STATISTICS AND STOCHASTIC PROCESSES",B
202400087,MA206B1,"PROBABILITY, STATISTICS AND STOCHASTIC PROCESSES",A
202400092,MA206B1,"PROBABILITY, STATISTICS AND STOCHASTIC PROCESSES",F
202400099,MA206B1,"PROBABILITY, STATISTICS AND STOCHASTIC PROCESSES",D
202400104,MA206B1,"PROBABILITY, STATISTICS AND STOCHASTIC PROCESSES",S
202400105,MA206B1,"PROBABILITY, STATISTICS AND STOCHASTIC PROCESSES",B
202400108,MA206B1,"PROBABILITY, STATISTICS AND STOCHASTIC PROCESSES",B
202400109,MA206B1,"PROBABILITY, STATISTICS AND STOCHASTIC PROCESSES",A
202400111,MA206B1,"PROBABILITY, STATISTICS AND STOCHASTIC PROCESSES",B
202400117,MA206B1,"PROBABILITY, STATISTICS AND STOCHASTIC PROCESSES",A
202400123,MA206B1,"PROBABILITY, STATISTICS AND STOCHASTIC PROCESSES",D
202400126,MA206B1,"PROBABILITY, STATISTICS AND STOCHASTIC PROCESSES",E
202400137,MA206B1,"PROBABILITY, STATISTICS AND STOCHASTIC PROCESSES",C
202400150,MA206B1,"PROBABILITY, STATISTICS AND STOCHASTIC PROCESSES",D
